Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
COMP_SCI 496,Agent AI,,2-4:50 M Li,2-4:50 M Li,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-43.html,Comp_sci 449
COMP_SCI 496,Advanced Topics in Approximation Algorithms,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-20.html,"COMP_SCI 437, IC"
COMP_SCI 496,Quantum Computer Applications and Programming,,,11-12:20 TuTh Smith,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-44.html,
COMP_SCI 496,Preference Aggregation for AI Alignment,,2-4:50 Tu Elkind,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-45.html,"CS PhD, IC"
COMP_SCI 496,Data Economics,2-3:20 MW Hartline,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-46.html,"PhD in CS, PhD Econ, PhD IEMS, PhD CS+LS, PhD TSB, Kellogg PhD MECS, IC"
COMP_SCI 496,Generative AI for Social Science,,2-4:50 Th Hullman,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-47.html,IC
COMP_SCI 496,Reliable Machine Learning with Unreliable Black-box Models,,,9:30-10:50 TTh Vijayaraghavan & Srinivas,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-48.html,"IC (unless you're a PhD student, in which case it should be easy to register). Recommended: CS 336 (Algorithms)/ Theory ML course, Basic Probability/ Statistics course"
COMP_SCI 497,Recent Highlights in the Theory of Machine Learning,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-3.html,
COMP_SCI 497,The Design of Tools and Technologies for Computer Science Education,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-4.html,"This course is primarily aimed at Ph.D. students. Undergrad, M.S. students by IC"
COMP_SCI 497,Calibration (Foundations of Trustworthy ML),,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-6.html,"PhD in CS, CE, EE, IEMS, Econ, MECS, Applied math"
COMP_SCI 497,Prediction for Decision-Making,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/497-8.html,"CS PhD students, IC"
